[4.936966966131357, 25.81440289948791];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b3731': 0, 'b1680': 0, 'b0675': 0, 'b1686': 0, 'b3456': 0, 'b1341': 0}
[4.936966966131357, 25.81440289948791];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b3731': 0, 'b3733': 0, 'b0675': 0, 'b1686': 0, 'b3456': 0, 'b1341': 0}
[4.936966966131357, 25.81440289948791];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b3731': 0, 'b3733': 0, 'b1680': 0, 'b1686': 0, 'b3456': 0, 'b1341': 0}
[4.936966966131357, 25.81440289948791];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b3731': 0, 'b3733': 0, 'b1680': 0, 'b0675': 0, 'b3456': 0, 'b1341': 0}
[4.936966966131357, 25.81440289948791];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b3731': 0, 'b3733': 0, 'b1680': 0, 'b0675': 0, 'b1686': 0, 'b1341': 0}
[4.936966966131357, 25.81440289948791];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b3731': 0, 'b3733': 0, 'b1680': 0, 'b0675': 0, 'b1686': 0, 'b3456': 0}
[4.93696696613137, 25.814402899488414];{'b0116': 0, 'b2280': 0, 'b3735': 0}
[4.936966966131313, 25.814402899488556];{'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0, 'b3057': 0, 'b3616': 0}
[4.936966966131313, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0, 'b3057': 0, 'b3616': 0}
[4.936966966131313, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0, 'b3057': 0, 'b3616': 0}
[4.936966966131313, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3962': 0, 'b3735': 0, 'b3057': 0, 'b3616': 0}
[4.936966966131313, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3735': 0, 'b3057': 0, 'b3616': 0}
[4.936966966131313, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3057': 0, 'b3616': 0}
[4.936966966131313, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0, 'b3616': 0}
[4.936966966131313, 25.814402899488556];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1686': 0, 'b3733': 0, 'b3003': 0, 'b3962': 0, 'b3735': 0, 'b3057': 0}
[4.936966966131345, 25.814402899487987];{'b0116': 0, 'b2280': 0, 'b3733': 0}
[4.936966966131295, 25.814402899488037];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b2797': 0, 'b3735': 0, 'b3733': 0, 'b0655': 0, 'b3616': 0, 'b3057': 0}
[4.936966966131295, 25.814402899488037];{'b0116': 0, 'b1443': 0, 'b2280': 0, 'b2797': 0, 'b3735': 0, 'b3733': 0, 'b0655': 0, 'b3616': 0, 'b3057': 0}
[4.936966966131295, 25.814402899488037];{'b0116': 0, 'b1443': 0, 'b0067': 0, 'b2280': 0, 'b3735': 0, 'b3733': 0, 'b0655': 0, 'b3616': 0, 'b3057': 0}
[4.936966966131295, 25.814402899488037];{'b0116': 0, 'b1443': 0, 'b0067': 0, 'b2280': 0, 'b2797': 0, 'b3733': 0, 'b0655': 0, 'b3616': 0, 'b3057': 0}
[4.936966966131295, 25.814402899488037];{'b0116': 0, 'b1443': 0, 'b0067': 0, 'b2280': 0, 'b2797': 0, 'b3735': 0, 'b0655': 0, 'b3616': 0, 'b3057': 0}
[4.936966966131295, 25.814402899488037];{'b0116': 0, 'b1443': 0, 'b0067': 0, 'b2280': 0, 'b2797': 0, 'b3735': 0, 'b3733': 0, 'b3616': 0, 'b3057': 0}
[4.936966966131295, 25.814402899488037];{'b0116': 0, 'b1443': 0, 'b0067': 0, 'b2280': 0, 'b2797': 0, 'b3735': 0, 'b3733': 0, 'b0655': 0, 'b3057': 0}
